id,name,effectivity,accuracy,element,target,effect,price,successMessage

43,FROST,24,32,Ice,All Targets,Damage,0,
44,HEAT,12,32,Fire,All Targets,Damage,0,
45,GLANCE,Petrify,5,Psn/Stn,Single Target,Status Ailment,0,ADD MESSAGE HERE
46,GAZE,Paralyze,0,Status,Single Target,Status Ailment,0,ADD MESSAGE HERE
47,FLASH,Blind,24,Status,All Targets,Status Ailment,0,Darkness
48,SCORCH,7,32,Fire,All Targets,Damage,0,
49,CRACK,Death,16,Earth,All Targets,Status Ailment,0,Slain...
4A,SQUINT,Death,0,Death,Single Target,Status Ailment,0,Slain...
4B,STARE,17,24,,Single Target,Damage,0,
4C,GLARE,Death,16,Time,Single Target,Status Ailment,0,Slain...
4D,BLIZZARD,50,32,Ice,All Targets,Damage,0,
4E,BLAZE,64,32,Fire,All Targets,Damage,0,
4F,INFERNO,96,32,Fire,All Targets,Damage,0,
50,CREMATE,24,32,Fire,All Targets,Damage,0,
51,POISON,Petrify,5,Psn/Stn,All Targets,Status Ailment,0,ADD MESSAGE HERE
52,TRANCE,Paralyze,0,,All Targets,Status Ailment,0,ADD MESSAGE HERE
53,POISON,68,32,Psn/Stn,All Targets,Damage,0,
54,THUNDER,76,32,Lightning,All Targets,Damage,0,
55,TOXIC,Death,0,Death,All Targets,Status Ailment,0,Slain...
56,SNORTING,Blind,24,Status,Single Target,Status Ailment,0,Darkness
57,NUCLEAR,80,48,,All Targets,Damage,0,
58,INK,Blind,24,Status,All Targets,Status Ailment,0,Darkness
59,STINGER,Poison,0,Psn/Stn,All Targets,Status Ailment,0,ADD MESSAGE HERE
5A,DAZZLE,Paralyze,32,Status,Single Target,Status Ailment,0,ADD MESSAGE HERE
5B,SWIRL,64,32,,All Targets,Damage,0,
5C,TORNADO,64,32,,All Targets,Damage,0,
