id,name,effectivity,accuracy,element,target,effect,price,successMessage

00,NUCLEAR,80,48,,All Enemies,Damage,0,

01,CURE,16,0,,Single Target,HP Recovery,100,HP up!
02,HARM,20,24,,All Enemies,Damage Undead,100,
03,FOG,8,0,,Single Ally,Defense Up,100,
04,RUSE,80,0,,Caster,Evasion Up,100,
05,Fire,10,24,Fire,Single Enemy,Damage,100,
06,SLEP,Sleep,24,Status,All Enemies,Status Ailment,100,Asleep
07,LOCK,20,64,,Single Enemy,Evasion Down,100,
08,LIT,10,24,Lightning,Single Enemy,Damage,100,

0A,MUTE,Silence,64,Status,All Enemies,Status Ailment,400,Silenced
0B,ALIT,Lightning,0,,All Allies, Resist Element,400,Defend lightning
0C,INVS,40,0,,Single Ally,Evasion Up,400,Easy to dodge
0D,ICE,20,24,Ice,Single Enemy,Damage,400,
0E,DARK,Blind,24,Status,All Enemies,Status Ailment,400,Darkness
0F,TMPR,14,0,,Single Ally,Attack/Accuracy Up,400,Weapons Stronger
10,SLOW,0,64,Status,All Enemies,Hit Multiplier Down,400,Lost intelligence

11,CUR2,33,0,,Single Ally,HP Recovery,1500,HP up!
12,HRM2,40,24,,All Enemies, Damage Undead,1500,
13,AFIR,Fire,0,,All Allies, Resist Element,400,Defend fire
14,HEAL,12,0,,All Allies,HP Recovery,1500,HP up!
15,FIR2,30,24,Fire,All Enemies,Damage,1500,
16,HOLD,Paralyze,64,Status,Single Enemy,Status Ailment,1500,Attack Halted
17,LIT2,30,24,Lightning,All Enemies, Damage, 1500,
18,LOK2,20,40,,All Enemies,Evasion Up,1500,Easy to dodge

19,PURE,Poison,0,,Single Ally,Restore Status,4000,
1A,FEAR,40,24,Status,All Enemies,Morale Down,4000,
1B,AICE,Ice,0,,All Allies,Resist Element,4000,Resist cold
1C,AMUT,Silence,0,,Single Ally,Restore Status,4000,
1D,SLP2,Sleep,64,,Single Enemy,Status Ailment,4000,Alseep
1E,FAST,0,0,,Single Ally,Hit Multiplier Up,4000,
1F,CONF,Confuse,64,Status,All Enemies,Status Ailment,4000,
20,ICE2,40,24,Ice,All Enemies,Damage,4000,

21,CUR3,66,0,,Single Ally,HP Recovery,8000,HP up!
22,LIFE,0,255,,Single Ally,None,8000,
23,HRM3,60,24,,All Enemies,Damage Undead,8000,
24,HEL2,48,0,,All Allies,HP Recovery,8000,HP up!
25,FIR3,50,24,Fire,All Enemies,Damage,8000,
26,BANE,Death,40,Psn/Stn,All Enemies,Status Ailment,8000,
27,WARP,0,255,,All Allies,Nine,8000,
28,SLO2,0,64,,Single Enemy,Hit Multiplier Down,8000,


2E,RUB,Death,24,Death,Single Enemy,Status Ailment,20000,Erased

36,BRAK,Petrify,64,Psn/Stn,Single Enemy,Status Ailment,45000,Broken into pieces

40,XXXX,Death,0,Death,Single Enemy,Status Ailment,60000,Erased
